Date,VOO,SPY
9/8/2017,226.399994,246.580002
9/11/2017,228.869995,249.210007
9/12/2017,229.710007,250.050003
9/13/2017,229.850006,250.169998
9/14/2017,229.770004,250.089996
9/15/2017,230.089996,249.190002
9/18/2017,230.490005,249.720001
9/19/2017,230.770004,249.970001
9/20/2017,229.720001,250.059998
9/21/2017,229.070007,249.389999
9/22/2017,229.039993,249.440002
9/25/2017,228.699997,248.929993
9/26/2017,228.779999,249.080002
9/27/2017,229.669998,250.050003
9/28/2017,229.940002,250.350006
9/29/2017,230.759995,251.229996
10/2/2017,231.729996,252.320007
10/3/2017,232.199997,252.860001
10/4/2017,232.520004,253.160004
10/5/2017,233.899994,254.660004
10/6/2017,233.679993,254.369995
10/9/2017,233.270004,253.949997
10/10/2017,233.860001,254.619995
10/11/2017,234.240005,255.020004
10/12/2017,233.880005,254.639999
10/13/2017,234.139999,254.949997
10/16/2017,234.509995,255.289993
10/17/2017,234.660004,255.470001
10/18/2017,234.869995,255.720001
10/19/2017,234.990005,255.789993
10/20/2017,236.160004,257.109985
10/23/2017,235.300003,256.109985
10/24/2017,235.630005,256.559998
10/25/2017,234.5,255.289993
10/26/2017,234.720001,255.619995
10/27/2017,236.720001,257.709991
10/30/2017,235.860001,256.75
10/31/2017,236.130005,257.149994
11/1/2017,236.539993,257.48999
11/2/2017,236.639999,257.589996
11/3/2017,237.429993,258.450012
11/6/2017,237.789993,258.850006
11/7/2017,237.690002,258.670013
11/8/2017,238.039993,259.109985
11/9/2017,237.179993,258.170013
11/10/2017,237.039993,258.089996
11/13/2017,237.320007,258.329987
11/14/2017,236.740005,257.730011
11/15/2017,235.529999,256.440002
11/16/2017,237.539993,258.619995
11/17/2017,236.899994,257.859985
11/20/2017,237.210007,258.299988
11/21/2017,238.789993,259.98999
11/22/2017,238.619995,259.76001
11/24/2017,239.119995,260.359985
11/27/2017,239.050003,260.230011
11/28/2017,241.419998,262.869995
11/29/2017,241.330002,262.709991
11/30/2017,243.350006,265.01001
12/1/2017,242.899994,264.459991
12/4/2017,242.639999,264.140015
12/5/2017,241.779999,263.190002
12/6/2017,241.770004,263.23999
12/7/2017,242.570007,264.070007
12/8/2017,243.889999,265.51001
12/11/2017,244.679993,266.309998
12/12/2017,245.100006,266.779999
12/13/2017,245.039993,266.75
12/14/2017,244.070007,265.660004
